order_id,date,hour,member_id,restaurant_id,total_order
1,1/1/20,00:00.0,25,6,0
2,1/1/20,08:00.0,122,4,0
3,1/1/20,10:00.0,62,16,39
4,1/1/20,13:00.0,171,9,0
5,1/1/20,13:00.0,152,30,153
6,1/1/20,13:00.0,166,25,120.33
7,1/1/20,18:00.0,25,21,158.86
8,1/1/20,19:00.0,95,1,95.96
9,1/1/20,19:00.0,40,30,0
10,1/1/20,20:00.0,149,19,248.11
11,1/1/20,25:00.0,28,24,131.57
12,1/1/20,29:00.0,121,16,0
13,1/1/20,30:00.0,46,7,32.94
14,1/1/20,30:00.0,200,17,131.63
15,1/1/20,32:00.0,158,7,72.59
16,1/1/20,33:00.0,39,16,194.17
17,1/1/20,36:00.0,128,18,0
18,1/1/20,37:00.0,131,18,71.16
19,1/1/20,37:00.0,181,1,0
20,1/1/20,38:00.0,127,18,97.5
21,1/1/20,40:00.0,124,13,171.27
22,1/1/20,48:00.0,77,8,100.08
23,1/1/20,49:00.0,23,29,141.31
24,1/1/20,51:00.0,137,15,0
25,1/1/20,52:00.0,77,25,67.28
26,1/1/20,52:00.0,159,18,121.24
27,1/1/20,53:00.0,46,11,244.5
28,1/1/20,56:00.0,49,28,33.92
29,1/1/20,59:00.0,29,15,92.25
30,1/1/20,59:00.0,169,29,0
31,1/1/20,05:00.0,61,28,95.06
32,1/1/20,05:00.0,166,16,0
33,1/1/20,06:00.0,96,8,100.08
34,1/1/20,06:00.0,44,4,39.06
35,1/1/20,08:00.0,131,9,124.36
36,1/1/20,09:00.0,103,19,69.41
37,1/1/20,14:00.0,183,23,66.05
38,1/1/20,17:00.0,167,5,40.59
39,1/1/20,19:00.0,42,21,147.7
40,1/1/20,20:00.0,69,12,121.7
41,1/1/20,20:00.0,172,7,60.07
42,1/1/20,20:00.0,152,23,65.23
43,1/1/20,22:00.0,181,19,123.57
44,1/1/20,23:00.0,135,28,0
45,1/1/20,24:00.0,105,8,0
46,1/1/20,27:00.0,167,20,96.84
47,1/1/20,31:00.0,71,18,302.13
48,1/1/20,36:00.0,195,13,39.91
49,1/1/20,44:00.0,147,15,64.95
50,1/1/20,44:00.0,193,26,59.26
51,1/1/20,53:00.0,104,19,0
52,1/1/20,55:00.0,34,18,134.05
53,1/1/20,56:00.0,122,21,0
54,1/1/20,57:00.0,133,29,135.87
55,1/1/20,57:00.0,136,9,172.42
56,1/1/20,58:00.0,109,6,111.82
57,1/1/20,58:00.0,159,29,0
58,1/1/20,59:00.0,164,8,89.43
59,1/1/20,00:00.0,37,29,62.57
60,1/1/20,03:00.0,31,1,188.99
61,1/1/20,03:00.0,34,16,0
62,1/1/20,09:00.0,59,26,173.13
63,1/1/20,10:00.0,154,29,23.32
64,1/1/20,13:00.0,11,11,0
65,1/1/20,20:00.0,30,14,126.57
66,1/1/20,22:00.0,120,19,167.09
67,1/1/20,27:00.0,104,28,70.63
68,1/1/20,30:00.0,135,29,127.9
69,1/1/20,31:00.0,119,16,76.35
70,1/1/20,35:00.0,194,26,48.23
71,1/1/20,38:00.0,187,16,39.23
72,1/1/20,38:00.0,34,13,140.73
73,1/1/20,38:00.0,82,13,39.91
74,1/1/20,40:00.0,159,21,64.13
75,1/1/20,44:00.0,18,11,52.26
76,1/1/20,49:00.0,97,3,118.25
77,1/1/20,49:00.0,1,17,53.37
78,1/1/20,50:00.0,150,15,61.05
79,1/1/20,52:00.0,149,1,215.31
80,1/1/20,55:00.0,99,18,131.88
81,1/1/20,59:00.0,114,30,0
82,1/1/20,13:00.0,13,25,167.91
83,1/1/20,41:00.0,29,3,124.59
84,1/1/20,34:00.0,62,7,76.32
85,1/1/20,40:00.0,82,8,101.01
86,1/1/20,08:00.0,47,21,0
87,1/1/20,25:00.0,66,4,141.85
88,1/1/20,57:00.0,181,2,156.76
89,1/1/20,58:00.0,39,30,72.47
90,1/1/20,14:00.0,53,15,74.06
91,1/1/20,34:00.0,82,5,172.48
92,1/1/20,43:00.0,46,3,134.34
93,1/1/20,06:00.0,43,1,173.52
94,1/1/20,14:00.0,120,4,117.02
95,1/1/20,17:00.0,32,30,48.03
96,1/1/20,24:00.0,45,3,21.26
97,1/1/20,31:00.0,89,15,99.09
98,1/1/20,37:00.0,74,25,110.76
99,1/1/20,48:00.0,119,4,20.14
100,1/1/20,50:00.0,57,26,0
101,1/1/20,02:00.0,81,13,154.99
102,1/1/20,03:00.0,128,10,164.66
103,1/1/20,03:00.0,123,2,155.56
104,1/1/20,06:00.0,146,12,0
105,1/1/20,09:00.0,129,27,229.33
106,1/1/20,10:00.0,137,5,160.58
107,1/1/20,11:00.0,54,24,43.71
108,1/1/20,12:00.0,151,24,43.71
109,1/1/20,20:00.0,86,9,75.82
110,1/1/20,22:00.0,105,16,126.03
111,1/1/20,27:00.0,143,5,72.77
112,1/1/20,28:00.0,163,5,0
113,1/1/20,28:00.0,134,20,189.43
114,1/1/20,30:00.0,96,9,54.81
115,1/1/20,30:00.0,148,21,184.54
116,1/1/20,32:00.0,10,7,39.08
117,1/1/20,34:00.0,82,23,90.86
118,1/1/20,35:00.0,152,3,46.03
119,1/1/20,39:00.0,184,11,164.47
120,1/1/20,40:00.0,193,13,206.28
121,1/1/20,44:00.0,28,1,0
122,1/1/20,45:00.0,190,25,64.43
123,1/1/20,46:00.0,14,8,143.11
124,1/1/20,46:00.0,127,6,0
125,1/1/20,47:00.0,104,19,54.48
126,1/1/20,48:00.0,176,5,31.07
127,1/1/20,49:00.0,135,23,31.82
128,1/1/20,52:00.0,190,22,144.26
129,1/1/20,56:00.0,65,21,120.5
130,1/1/20,56:00.0,94,30,0
131,1/1/20,56:00.0,97,23,135.85
132,1/1/20,56:00.0,120,22,50.34
133,1/1/20,57:00.0,131,25,169.52
134,1/1/20,05:00.0,123,10,123.95
135,1/1/20,05:00.0,27,2,138.17
136,1/1/20,06:00.0,125,16,0
137,1/1/20,07:00.0,11,19,69.41
138,1/1/20,09:00.0,14,11,43.96
139,1/1/20,12:00.0,54,3,89.68
140,1/1/20,13:00.0,63,5,146.37
141,1/1/20,16:00.0,147,1,208.98
142,1/1/20,20:00.0,187,10,0
143,1/1/20,22:00.0,33,29,155.22
144,1/1/20,24:00.0,10,16,32.18
145,1/1/20,25:00.0,127,20,311.23
146,1/1/20,29:00.0,99,3,34.89
147,1/1/20,31:00.0,59,28,32.91
148,1/1/20,35:00.0,190,26,66.85
149,1/1/20,42:00.0,193,20,131.08
150,1/1/20,44:00.0,18,13,39.87
151,1/1/20,48:00.0,169,11,66.7
152,1/1/20,51:00.0,137,22,66.05
153,1/1/20,51:00.0,125,28,0
154,1/1/20,54:00.0,162,28,36.71
155,1/1/20,55:00.0,169,11,0
156,1/1/20,55:00.0,96,12,93.61
157,1/1/20,56:00.0,36,22,0
158,1/1/20,57:00.0,32,13,119.28
159,1/1/20,01:00.0,195,26,0
160,1/1/20,02:00.0,189,24,0
161,1/1/20,05:00.0,199,15,40
162,1/1/20,10:00.0,86,30,48.03
163,1/1/20,13:00.0,109,15,59.05
164,1/1/20,13:00.0,57,19,215.33
165,1/1/20,13:00.0,98,21,33.08
166,1/1/20,16:00.0,117,27,46.8
167,1/1/20,17:00.0,180,14,30.8
168,1/1/20,22:00.0,73,27,231.08
169,1/1/20,24:00.0,133,10,23.58
170,1/1/20,25:00.0,200,30,184.25
171,1/1/20,27:00.0,92,26,0
172,1/1/20,27:00.0,47,1,156.22
173,1/1/20,28:00.0,133,14,121.42
174,1/1/20,30:00.0,16,29,81.65
175,1/1/20,30:00.0,95,27,99.99
176,1/1/20,31:00.0,170,28,88
177,1/1/20,32:00.0,36,3,166.45
178,1/1/20,34:00.0,174,30,180.45
179,1/1/20,47:00.0,118,21,178.51
180,1/1/20,55:00.0,167,14,27.42
181,1/1/20,55:00.0,127,18,46.06
182,1/1/20,56:00.0,164,14,32.65
183,1/1/20,03:00.0,193,11,80.92
184,1/1/20,16:00.0,79,22,0
185,1/1/20,16:00.0,158,20,136.83
186,1/1/20,29:00.0,62,6,205.34
187,1/1/20,42:00.0,101,13,99.14
188,1/1/20,48:00.0,28,9,34.9
189,1/1/20,16:00.0,180,2,104.03
190,1/1/20,18:00.0,155,7,108
191,1/1/20,35:00.0,30,22,33.09
192,1/2/20,01:00.0,177,8,52.02
193,1/2/20,02:00.0,103,22,173.52
194,1/2/20,03:00.0,21,23,129.42
195,1/2/20,06:00.0,106,29,118.73
196,1/2/20,11:00.0,60,12,0
197,1/2/20,15:00.0,62,16,149.32
198,1/2/20,16:00.0,115,5,58.71
199,1/2/20,19:00.0,179,20,74.62
